image,ground_truth,prediction,CER_score
test077_1.jpg,G1754QZ,G17540Z,0.1429
test073_2.jpg,A1330FP,1330FP,0.1429
test070_2.jpg,B2597BYK,2597BYK,0.125
test025_4.jpg,9840VU,9840786,0.5
test046_2.jpg,L1265MX,1265MX,0.1429
test092_1.jpg,B1104AAA,B1104AAA,0.0
test050_2.jpg,N1095G,1095G,0.1667
test064_1.jpg,AE8137G,AE8137G,0.0
test049_1.jpg,N1376DE,1376,0.4286
test007_1.jpg,AD8865EE,8865,0.5
test092_2.jpg,T1579FN,1579,0.4286
test061_1.jpg,AA1971KJ,1971KJ,0.25
test088_1.jpg,B2190TYB,B2190TYB,0.0
test029_2.jpg,G1986N,1986,0.3333
test090_2.jpg,N9579U,N0579U,0.1667
test096_1.jpg,B1354COJ,1354COJ,0.125
test014_1.jpg,B1388DFX,1388DFX,0.125
test010_1.jpg,B9416PCN,B9416PCN,0.0
test081_2.jpg,F1992AM,F1992AM,0.0
test035_4.jpg,W1696YO,W1696YO,0.0
test035_3.jpg,L2498AAM,2498AAM,0.125
test047_1.jpg,N1524SY,1524SY,0.1429
test082_1.jpg,E1824YZ,1824YZ,0.1429
test027_2.jpg,B1109CLR,1169CLR,0.25
test045_1.jpg,S1347LJ,1347LJ,0.1429
test056_1.jpg,N924CIA,924CIA,0.1429
test087_1.jpg,B6823WXR,6823WXR,0.125
test025_2.jpg,L2858RR,L2858RR,0.0
test022_1.jpg,W1825OZ,18250Z,0.2857
test071_1.jpg,G9545AG,G9545AG,0.0
test074_2.jpg,B1081CMR,1081CMR,0.125
test022_3.jpg,L3823IB,382310,0.4286
test056_2.jpg,N1623HB,1623HB,0.1429
test002_1.jpg,BG1352AE,1352AE,0.25
test021_1.jpg,BA1709DW,1709DW,0.25
test093_1.jpg,B2026BIU,2026BIU,0.125
